timestamp,sentiment,volume,instrument
2024-01-01 00:00:00+00:00,0.37235,2,MES
2024-01-02 00:00:00+00:00,0.24434999999999996,2,MES
2024-01-03 00:00:00+00:00,-0.3064,2,MES
2024-01-04 00:00:00+00:00,0.27370000000000005,2,MES
2024-01-05 00:00:00+00:00,0.044899999999999995,2,MES
2024-01-06 00:00:00+00:00,0.33415000000000006,2,MES
2024-01-07 00:00:00+00:00,0.5505,2,MES
2024-01-08 00:00:00+00:00,-0.31345,2,MES
2024-01-09 00:00:00+00:00,-0.10659999999999997,2,MES
2024-01-10 00:00:00+00:00,0.031799999999999995,2,MES
2024-01-11 00:00:00+00:00,0.34435,2,MES
2024-01-12 00:00:00+00:00,-0.17545,2,MES
2024-01-13 00:00:00+00:00,0.12530000000000002,2,MES
2024-01-14 00:00:00+00:00,0.89365,2,MES
2024-01-15 00:00:00+00:00,0.08649999999999997,2,MES
2024-01-16 00:00:00+00:00,-0.08040000000000003,2,MES
2024-01-17 00:00:00+00:00,-0.41645,2,MES
2024-01-18 00:00:00+00:00,-0.34819999999999995,2,MES
2024-01-19 00:00:00+00:00,-0.30674999999999997,2,MES
2024-01-20 00:00:00+00:00,-0.1553,2,MES
2024-01-21 00:00:00+00:00,0.0824,2,MES
2024-01-22 00:00:00+00:00,0.328,2,MES
2024-01-23 00:00:00+00:00,-0.0394,2,MES
2024-01-24 00:00:00+00:00,0.38079999999999997,2,MES
2024-01-25 00:00:00+00:00,0.11135,2,MES
2024-01-26 00:00:00+00:00,0.00539999999999996,2,MES
2024-01-27 00:00:00+00:00,0.42279999999999995,2,MES
2024-01-28 00:00:00+00:00,0.8403,2,MES
2024-01-29 00:00:00+00:00,-0.06670000000000001,2,MES
2024-01-30 00:00:00+00:00,0.10949999999999999,2,MES
2024-01-31 00:00:00+00:00,-0.14674,5,MES
2024-02-01 00:00:00+00:00,-0.48543333333333333,3,MES
2024-02-02 00:00:00+00:00,-0.32160000000000005,3,MES
2024-02-03 00:00:00+00:00,0.5096666666666666,3,MES
2024-02-04 00:00:00+00:00,0.5922666666666667,3,MES
2024-02-05 00:00:00+00:00,-0.5721333333333333,3,MES
2024-02-06 00:00:00+00:00,-0.17573333333333332,3,MES
2024-02-07 00:00:00+00:00,-0.026633333333333346,3,MES
2024-02-08 00:00:00+00:00,-0.0617,3,MES
2024-02-09 00:00:00+00:00,-0.29336666666666666,3,MES
2024-02-10 00:00:00+00:00,0.5138666666666667,3,MES
2024-02-11 00:00:00+00:00,0.7891,3,MES
2024-02-12 00:00:00+00:00,-0.04763333333333334,3,MES
2024-02-13 00:00:00+00:00,-0.6059333333333333,3,MES
2024-02-14 00:00:00+00:00,-0.7288,3,MES
2024-02-15 00:00:00+00:00,-0.007766666666666662,3,MES
