date,level,direction,entry,tp,sl,bar_idx,session,day_of_week,hour,level_price,year,month,outcome,exit_price,exit_time,pnl_pts,pnl_usd,bars_held,max_favorable_excursion,max_adverse_excursion,breakeven_hit,trailing_active,contracts
2020-01-02 03:15:00-05:00,LPH,SHORT,1523.9,1503.9,1548.9,37,London,Thursday,3,1523.9,2020,1,LOSS,1548.9,2020-01-03 04:00:00-05:00,-25.0,-500.0,95,2.0,25.59999999999991,False,False,2
2020-01-02 03:15:00-05:00,LPL,LONG,1521.5,1541.5,1496.5,37,London,Thursday,3,1521.5,2020,1,WIN,1538.7,2020-01-02 21:15:00-05:00,17.200000000000045,344.0000000000009,68,22.200000000000045,0.0,False,True,2
2020-01-02 04:45:00-05:00,PMH,SHORT,1523.8,1503.8,1548.8,43,London,Thursday,4,1523.8,2020,1,LOSS,1548.8,2020-01-03 04:00:00-05:00,-25.0,-500.0,89,1.599999999999909,25.700000000000045,False,False,2
2020-01-03 04:45:00-05:00,PMH,SHORT,1552.9,1532.9,1577.9,135,London,Friday,4,1552.9,2020,1,LOSS,1577.9,2020-01-05 18:00:00-05:00,-25.0,-500.0,49,9.600000000000136,38.299999999999955,False,False,2
2020-01-06 03:15:00-05:00,LPL,LONG,1572.4,1592.4,1547.4,221,London,Monday,3,1572.4,2020,1,WIN,1588.9,2020-01-07 18:15:00-05:00,16.5,330.0,148,21.5,15.300000000000182,False,True,2
2020-01-06 03:30:00-05:00,LPH,SHORT,1579.9,1559.9,1604.9,222,London,Monday,3,1579.9,2020,1,WIN,1563.4,2020-01-06 20:45:00-05:00,16.5,330.0,65,21.5,1.5,False,True,2
2020-01-06 05:00:00-05:00,PML,LONG,1577.2,1597.2,1552.2,228,London,Monday,5,1577.2,2020,1,WIN,1594.8,2020-01-07 18:30:00-05:00,17.59999999999991,351.9999999999982,142,22.59999999999991,20.100000000000136,False,True,2
2020-01-06 10:30:00-05:00,PDL,LONG,1560.5,1580.5,1535.5,250,NY,Monday,10,1560.5,2020,1,WIN,1575.6,2020-01-07 18:00:00-05:00,15.099999999999909,301.9999999999982,118,20.09999999999991,3.400000000000091,False,True,2
2020-01-07 04:45:00-05:00,PML,LONG,1564.9,1584.9,1539.9,319,London,Tuesday,4,1564.9,2020,1,WIN,1588.9,2020-01-07 18:15:00-05:00,24.0,480.0,50,29.0,0.0,False,True,2
2020-01-07 05:00:00-05:00,PMH,SHORT,1568.6,1548.6,1593.6,320,London,Tuesday,5,1568.6,2020,1,LOSS,1593.6,2020-01-07 18:15:00-05:00,-25.0,-500.0,49,3.099999999999909,25.300000000000182,False,False,2
2020-01-08 03:15:00-05:00,LPL,LONG,1587.3,1607.3,1562.3,405,London,Wednesday,3,1587.3,2020,1,LOSS,1562.3,2020-01-08 11:30:00-05:00,-25.0,-500.0,33,0.6000000000001364,32.200000000000045,False,False,2
2020-01-08 05:15:00-05:00,PML,LONG,1582.3,1602.3,1557.3,413,London,Wednesday,5,1582.3,2020,1,LOSS,1557.3,2020-01-08 11:30:00-05:00,-25.0,-500.0,25,2.0,27.200000000000045,False,False,2
2020-01-13 10:30:00-05:00,PMH,SHORT,1557.0,1537.0,1582.0,710,NY,Monday,10,1557.0,2020,1,WIN,1541.5,2020-01-14 02:00:00-05:00,15.5,310.0,58,20.5,0.0,False,True,2
2020-01-23 03:45:00-05:00,LPL,LONG,1552.8,1572.8,1527.8,1403,London,Thursday,3,1552.8,2020,1,WIN,1569.8,2020-01-24 10:15:00-05:00,17.0,340.0,118,22.0,1.599999999999909,False,True,2
2020-01-23 04:45:00-05:00,PML,LONG,1553.3,1573.3,1528.3,1407,London,Thursday,4,1553.3,2020,1,WIN,1569.8,2020-01-24 10:15:00-05:00,16.5,330.0,114,21.5,2.099999999999909,False,True,2
2020-01-24 03:15:00-05:00,LPH,SHORT,1560.9,1540.9,1585.9,1493,London,Friday,3,1560.9,2020,1,LOSS,1585.9,2020-01-26 18:00:00-05:00,-25.0,-500.0,55,5.0,27.799999999999955,False,False,2
2020-01-24 04:45:00-05:00,PMH,SHORT,1560.9,1540.9,1585.9,1499,London,Friday,4,1560.9,2020,1,LOSS,1585.9,2020-01-26 18:00:00-05:00,-25.0,-500.0,49,5.0,27.799999999999955,False,False,2
