date,level,direction,entry,tp,sl,bar_idx,session,day_of_week,hour,level_price,year,month,outcome,exit_price,exit_time,pnl_pts,pnl_usd_gross,fees_usd,pnl_usd,bars_held,max_favorable_excursion,max_adverse_excursion,trailing_active,contracts
2019-01-02 03:15:00-05:00,LPL,LONG,1.15165,1.15465,1.1491500000000001,37,London,Wednesday,3,1.15165,2019,1,WIN,1.1582000000000001,2019-01-02 04:30:00-05:00,0.006550000000000056,818.7500000000069,3.5,815.2500000000069,5,0.007050000000000001,0.0021500000000000963,True,1
2019-01-02 04:45:00-05:00,PML,LONG,1.1495,1.1524999999999999,1.147,43,London,Wednesday,4,1.1495,2019,1,LOSS,1.147,2019-01-02 07:30:00-05:00,-0.0024999999999999467,-312.49999999999335,3.5,-315.99999999999335,11,0.0018000000000000238,0.002650000000000041,False,1
2019-01-02 09:45:00-05:00,PMH,SHORT,1.1657,1.1627,1.1682,63,NY,Wednesday,9,1.1657,2019,1,WIN,1.1433499999999999,2019-01-02 10:00:00-05:00,0.022350000000000092,2793.7500000000114,3.5,2790.2500000000114,1,0.022850000000000037,0.0,True,1
2019-01-03 03:15:00-05:00,LPL,LONG,1.1423,1.1453,1.1398000000000001,129,London,Thursday,3,1.1423,2019,1,WIN,1.15355,2019-01-03 03:30:00-05:00,0.011249999999999982,1406.2499999999977,3.5,1402.7499999999977,1,0.011749999999999927,0.0,True,1
2019-01-03 03:30:00-05:00,LPH,SHORT,1.1532,1.1502000000000001,1.1557,130,London,Thursday,3,1.1532,2019,1,WIN,1.14495,2019-01-03 03:45:00-05:00,0.00825000000000009,1031.2500000000114,3.5,1027.7500000000114,1,0.008750000000000036,0.0,True,1
2019-01-03 04:45:00-05:00,PMH,SHORT,1.14525,1.1422500000000002,1.14775,135,London,Thursday,4,1.14525,2019,1,LOSS,1.14775,2019-01-03 05:00:00-05:00,-0.0024999999999999467,-312.49999999999335,3.5,-315.99999999999335,1,0.0018000000000000238,0.007249999999999979,False,1
2019-01-03 05:15:00-05:00,PML,LONG,1.14345,1.14645,1.1409500000000001,137,London,Thursday,5,1.14345,2019,1,WIN,1.15065,2019-01-03 06:15:00-05:00,0.007199999999999873,899.9999999999842,3.5,896.4999999999842,4,0.007699999999999818,0.0015500000000001624,True,1
2019-01-04 04:45:00-05:00,PML,LONG,1.147,1.15,1.1445,227,London,Friday,4,1.147,2019,1,WIN,1.15615,2019-01-04 06:15:00-05:00,0.009149999999999991,1143.7499999999989,3.5,1140.2499999999989,6,0.009649999999999936,0.0007999999999999119,True,1
2019-01-04 06:15:00-05:00,PMH,SHORT,1.15665,1.15365,1.15915,233,London,Friday,6,1.15665,2019,1,WIN,1.1482999999999999,2019-01-04 06:30:00-05:00,0.00835000000000008,1043.75000000001,3.5,1040.25000000001,1,0.008850000000000025,0.0,True,1
2019-01-07 04:15:00-05:00,LPH,SHORT,1.1574,1.1544,1.1599,317,London,Monday,4,1.1574,2019,1,WIN,1.1513,2019-01-07 04:30:00-05:00,0.006099999999999994,762.4999999999993,3.5,758.9999999999993,1,0.006599999999999939,0.0,True,1
