date,level,direction,entry,tp,sl,bar_idx,session,day_of_week,hour,level_price,year,month,outcome,exit_price,exit_time,pnl_pts,pnl_usd_gross,fees_usd,pnl_usd,bars_held,max_favorable_excursion,max_adverse_excursion,trailing_active,contracts
2017-01-03 07:45:00-05:00,PML,LONG,1146.5,1166.5,1121.5,6,London,Tuesday,7,1146.5,2017,1,WIN,1178.1,2017-01-05 21:00:00-05:00,31.59999999999991,3159.999999999991,5.5,3154.499999999991,39,36.799999999999955,0.0,True,1
2017-01-03 11:00:00-05:00,PMH,SHORT,1149.2,1129.2,1174.2,10,NY,Tuesday,11,1149.2,2017,1,LOSS,1174.4,2017-01-05 02:15:00-05:00,-25.200000000000045,-2520.0000000000045,5.5,-2525.5000000000045,24,0.0,26.5,False,1
2017-01-04 12:30:00-05:00,PMH,SHORT,1164.6,1144.6,1189.6,27,NY,Wednesday,12,1164.6,2017,1,LOSS,1189.8,2017-01-11 13:30:00-05:00,-25.200000000000045,-2520.0000000000045,5.5,-2525.5000000000045,52,1.7999999999999545,32.40000000000009,False,1
2017-01-04 12:45:00-05:00,PML,LONG,1163.6,1183.6,1138.6,28,NY,Wednesday,12,1163.6,2017,1,WIN,1183.7,2017-01-11 10:15:00-05:00,20.100000000000136,2010.0000000000136,5.5,2004.5000000000136,48,25.300000000000182,0.7999999999999545,True,1
2017-01-06 13:15:00-05:00,PMH,SHORT,1175.7,1155.7,1200.7,52,NY,Friday,13,1175.7,2017,1,LOSS,1200.9,2017-01-12 04:15:00-05:00,-25.200000000000045,-2520.0000000000045,5.5,-2525.5000000000045,33,3.7000000000000455,27.399999999999864,False,1
2017-01-06 15:45:00-05:00,PML,LONG,1172.2,1192.2,1147.2,53,NY,Friday,15,1172.2,2017,1,WIN,1191.8,2017-01-11 14:30:00-05:00,19.59999999999991,1959.999999999991,5.5,1954.499999999991,28,24.799999999999955,0.0,True,1
2017-01-09 09:45:00-05:00,PML,LONG,1178.9,1198.9,1153.9,63,NY,Monday,9,1178.9,2017,1,WIN,1199.1,2017-01-12 13:00:00-05:00,20.199999999999818,2019.9999999999818,5.5,2014.4999999999818,25,25.399999999999864,2.400000000000091,True,1
2017-01-09 13:15:00-05:00,PMH,SHORT,1180.1,1160.1,1205.1,65,NY,Monday,13,1180.1,2017,1,LOSS,1205.3,2017-01-16 02:00:00-05:00,-25.200000000000045,-2520.0000000000045,5.5,-2525.5000000000045,31,3.599999999999909,25.40000000000009,False,1
2017-01-11 11:30:00-05:00,PMH,SHORT,1186.2,1166.2,1211.2,78,NY,Wednesday,11,1186.2,2017,1,LOSS,1211.4,2017-01-17 03:00:00-05:00,-25.200000000000045,-2520.0000000000045,5.5,-2525.5000000000045,21,0.0,26.5,False,1
2017-01-17 12:00:00-05:00,PML,LONG,1212.0,1232.0,1187.0,104,NY,Tuesday,12,1212.0,2017,1,LOSS,1186.8,2017-01-26 10:45:00-05:00,-25.200000000000045,-2520.0000000000045,5.5,-2525.5000000000045,72,7.0,26.40000000000009,False,1
